Module,Name,Description/Notes,Link,PN,Dimensions,Price Per,Quanitity per box,Quantity total,Price per Box,Price for all,,,Number of boxes,Extra box components,
,,,,,,,,,,,,,,,
Pi,Raspberry Pi 3 Model B,Newark is the official distributor,http://www.newark.com/raspberry-pi/raspberrypi3-modb-1gb/sbc-raspberry-pi-3-mod-b-1gb-ram/dp/77Y6520?src=raspberrypi,,4.8 x 2.99 x 1.34 inches,$35.00,1,1,$35.00,$35.00,,,1,0,
Pi,micro usb breakout,Hardwire power to raspi,https://www.digikey.com/product-detail/en/sparkfun-electronics/BOB-10031/1568-1192-ND/5673778,1568-1192-ND,,$3.95,1,1,$3.95,$3.95,,,,,
Pi,SanDisk Ultra class 10 16GB,microSD Cards for Pis,http://a.co/50qHHlO,,,$9.90,1,1,$9.90,$9.90,,,,,
Pi,USB Hub,comes with USB cable and screws,https://www.digikey.com/product-detail/en/tripp-lite/U223-004-IND/TL822-ND/4439408,TL822-ND,,$70.06,1,1,$70.06,$70.06,,,,,
Pi,USB cable,"A-B for arduinos, and pi panel mount.",https://www.digikey.com/product-detail/en/molex-llc/0887329002/WM17533-ND/1866799,WM17533-ND,,$2.11,5,5,$10.55,$10.55,,,,Per Box,Total
Pi,HDMI cable ,,https://www.digikey.com/product-detail/en/qualtek/1721001-03/Q396-ND/1531323,Q396-ND,,$7.78,1,1,$7.78,$7.78,,,Pi,$137.24,$137.24
,,,,,,,,,,,,,Arduino,$232.13,$232.13
Arduino,Arduino Mega 2560 Rev3,,https://www.digikey.com/product-detail/en/arduino/A000067/1050-1018-ND/2639006,1050-1018-ND,4.4 x 2.4 x 0.8 inches,$38.50,4,4,$154.00,$154.00,,,Box,$325.30,$325.30
Arduino,Power cable,Must be used to power USB hub off 5V,https://www.digikey.com/product-detail/en/tensility-international-corp/10-01936/839-1250-ND/5638260,839-1250-ND,,$2.83,1,1,$2.83,$2.83,,,Box Con,$207.15,$207.15
Arduino,Grove Mega Shield v1.2,Grove shield for megas,https://www.digikey.com/product-detail/en/seeed-technology-co-ltd/103020027/1597-1153-ND/5774944,1597-1153-ND,,$10.10,4,4,$40.40,$40.40,,,Sensor Cables,$273.03,$273.03
Arduino,4-40 Washer,4-40 (optional),,,,$0.0000,bulk,100,$0.00,$0.00,,,Sensors,$200.08,$200.08
Arduino,4-40 Machine Screw,4-40 3/4inch,https://www.digikey.com/product-detail/en/b-f-fastener-supply/PMSSS-440-0075-PH/H707-ND/274918,H707-ND,,$0.0912,bulk,100,$9.12,$9.12,,,TOTAL,"$1,374.93","$1,374.93"
Arduino,4-40 Nut,4-40,https://www.digikey.com/product-detail/en/b-f-fastener-supply/HNSS440/H724-ND/274935,H724-ND,,$0.0486,bulk,100,$4.86,$4.86,,,,,
Arduino,4-40 PCB space,1/4inch,https://www.digikey.com/product-detail/en/raf-electronic-hardware/1124-4-N/1772-1919-ND/7681330,1772-1919-ND,,$0.2000,,25,$5.00,$5.00,,,,,
